date,count
2015-06-03,7926694
2015-06-04,2841496
2015-06-05,1620652
2015-06-06,12149593
2015-06-07,14435811
2015-06-08,8709161
2015-06-09,8661006
2015-06-10,4204432
2015-06-12,1839424
2015-06-13,957740
2015-06-14,910754
2015-06-20,13868782
2015-06-21,12324493
2015-06-22,11188457
2015-06-24,6574362
2015-06-26,24827027
2015-06-27,5096169
2015-06-28,20208308
2015-06-29,423276
2015-07-01,6185844
2015-07-02,479950
2015-07-03,9990942
2015-07-04,177090
2015-07-05,17213463
2015-07-06,18623839
2015-07-07,21081144
2015-07-08,8357891
2015-07-09,1039291
2015-07-10,2028964
2015-07-18,7680340
2015-07-19,14798507
2015-07-20,13163971
2015-07-21,3811001
2015-07-25,764965
2015-07-26,30823
2015-07-27,3411914
2015-07-28,2223406
2015-07-29,610527
2015-07-30,3123092
2015-07-31,14039482
2015-08-01,26718712
2015-08-02,2955243
2015-08-03,56876
2015-08-07,22314
2015-08-08,5258160
2015-08-09,4002223
2015-08-10,7203831
2015-08-11,1328906
2015-08-13,3401521
2015-08-14,4288502
2015-08-15,6937529
2015-08-16,10387694
2015-08-17,6567564
2015-08-18,6192096
2015-08-19,7802296
2015-08-20,8017014
2015-08-21,930470
2015-08-22,3534169
2015-08-24,1563966
2015-08-26,100876
2015-08-27,1889664
2015-08-28,3895921
2015-08-29,7621278
2015-08-30,8745543
2015-08-31,685174
2015-09-01,9427735
2015-09-04,5624017
2015-09-05,7945727
2015-09-06,4966361
2015-09-07,4378041
2015-09-09,6756883
2015-09-10,8581029
2015-09-11,14270753
2015-09-12,9175054
2015-09-13,8474809
2015-09-14,6353175
2015-09-15,739090
2015-09-16,6379772
2015-09-17,3897235
2015-09-18,3738561
2015-09-19,4250061
2015-09-20,1204510
2015-09-21,1047923
2015-09-22,1615322
2015-09-23,1224203
2015-11-24,9259354
2015-11-25,5844488
2015-11-27,264394
2015-11-28,169305
2015-11-29,6473319
2015-11-30,2971928
2015-12-02,342664
2015-12-03,1013137
2015-12-04,4912911
2015-12-05,3097050
2015-12-06,3633895
2015-12-07,212766
2015-12-09,146591
2015-12-10,4453945
2015-12-12,1987332
2015-12-13,138795
2015-12-14,4146463
2015-12-15,364234
2015-12-16,2401022
2015-12-17,4730023
2015-12-18,2522524
2015-12-19,6067794
2015-12-20,1260842
2015-12-24,21324
2015-12-25,3464956
2015-12-27,2649487
2015-12-29,5770355
2015-12-30,4772897
2015-12-31,5329926
2016-02-26,16960524
2016-02-27,18523067
2016-02-28,24877178
2016-02-29,11807612
2016-03-01,3076522
2016-03-02,1534932
2016-03-03,2249406
2016-03-05,4442172
2016-03-06,3141335
2016-03-07,100687
2016-03-08,102067
2016-03-12,167810
2016-03-13,308462
2016-03-14,1188180
2016-03-15,580038
2016-03-18,918793
2016-03-19,5417559
2016-03-20,10194672
2016-03-21,9612816
2016-03-22,31811937
2016-03-23,33940705
2016-03-24,22220137
2016-03-25,4539735
2016-03-26,27534152
2016-03-27,12749230
2016-03-30,11974314
2016-03-31,5577764
2016-04-01,8976244
2016-04-02,2611634
2016-04-03,1525120
2016-04-04,3333382
2016-04-05,5276572
2016-04-06,1247382
2016-04-07,57603
2016-04-08,2524265
2016-04-10,1489067
2016-04-11,1211896
2016-04-12,7209217
2016-04-13,9510739
2016-04-14,1858622
2016-04-15,65421
2016-04-16,577799
2016-04-17,451890
2016-04-18,54048594
2016-04-19,29486137
2016-04-20,49942491
2016-04-21,6801451
2016-04-22,4494242
2016-04-23,190797
2016-04-24,4011306
2016-04-25,5622183
2016-04-26,7497377
2016-04-27,2731622
2016-04-28,1382203
2016-05-03,9299663
2016-05-04,5490953
2016-05-05,34958
2016-05-06,12996944
2016-05-11,56510
2016-05-12,460371
