date,count_all,count_nullID
2015-04-12,4335721,59197
2015-04-13,1180849,43217
2015-04-16,6298,41
2015-04-17,110457,7203
2015-04-19,295796,3473
2015-04-22,701983,5937
2015-04-24,1422456,19982
2015-04-26,1733601,31162
2015-04-27,17892715,345151
2015-04-28,3749190,42654
2015-04-29,1269104,16902
2015-04-30,491840,5295
2015-05-06,760363,19436
2015-05-07,562017,2086
2015-05-08,1667551,12653
2015-05-10,251852,3540
2015-05-11,304035,3190
2015-05-12,1226568,14181
2015-05-13,4609241,70929
2015-05-14,2746266,14458
2015-05-15,5672408,89809
2015-05-16,1193217,9487
2015-05-17,937262,9705
2015-05-22,4480011,78177
2015-05-23,5770797,101292
2015-05-24,5332626,75434
2015-05-26,15142261,215012
2015-05-31,9926,33
2015-06-02,9706301,107234
2015-06-03,7926694,77964
2015-06-04,2841496,21490
2015-06-05,1620652,9987
2015-06-06,12149593,179404
2015-06-07,14435811,197886
2015-06-08,8709161,158813
2015-06-09,8661006,140086
2015-06-10,4204432,75566
2015-06-12,1839424,22474
2015-06-13,957740,9037
2015-06-14,910754,15158
2015-06-20,13868782,194078
2015-06-21,12324493,138653
2015-06-22,11188457,124451
2015-06-24,6574362,216635
2015-06-26,24827027,370026
2015-06-27,5096169,96392
2015-06-28,20208308,370193
2015-06-29,423276,5576
2015-07-01,6185844,65741
2015-07-02,479950,4963
2015-07-03,9990942,141179
2015-07-04,177090,1155
2015-07-05,17213463,260056
2015-07-06,18623839,299785
2015-07-07,21081144,187661
2015-07-08,8357891,59212
2015-07-09,1039291,8719
2015-07-10,2028964,40015
2015-07-18,7680340,90757
2015-07-19,14798507,248523
2015-07-20,13163971,242481
2015-07-21,3811001,40613
2015-07-25,764965,21402
2015-07-26,30823,131
2015-07-27,3411914,28594
2015-07-28,2223406,29832
2015-07-29,610527,7167
2015-07-30,3123092,27677
2015-07-31,14039482,234219
2015-08-01,26718712,465434
2015-08-02,2955243,32909
2015-08-03,56876,483
2015-08-07,22314,235
2015-08-08,5258160,61622
2015-08-09,4002223,200820
2015-08-10,7203831,214123
2015-08-11,1328906,12008
2015-08-13,3401521,33667
2015-08-14,4288502,39083
2015-08-15,6937529,88412
2015-08-16,10387694,79186
2015-08-17,6567564,125571
2015-08-18,6192096,109546
2015-08-19,7802296,67645
2015-08-20,8017014,76765
2015-08-21,930470,3533
2015-08-22,3534169,23395
2015-08-24,1563966,14065
2015-08-26,100876,904
2015-08-27,1889664,17752
2015-08-28,3895921,47918
2015-08-29,7621278,96081
2015-08-30,8745543,74988
2015-08-31,685174,6077
2015-09-01,9427735,54143
2015-09-04,5624017,49538
2015-09-05,7945727,79596
2015-09-06,4966361,56951
2015-09-07,4378041,42242
2015-09-09,6756883,77547
2015-09-10,8581029,89353
2015-09-11,14270753,95203
2015-09-12,9175054,63326
2015-09-13,8474809,64941
2015-09-14,6353175,68813
2015-09-15,739090,4058
2015-09-16,6379772,66126
2015-09-17,3897235,33666
2015-09-18,3738561,30019
2015-09-19,4250061,56544
2015-09-20,1204510,18702
2015-09-21,1047923,8484
2015-09-22,1615322,24397
2015-09-23,1224203,28690
2015-11-24,9259354,117523
2015-11-25,5844488,76281
2015-11-27,264394,3147
2015-11-28,169305,3137
2015-11-29,6473319,79566
2015-11-30,2971928,50610
2015-12-02,342664,11489
2015-12-03,1013137,16657
2015-12-04,4912911,50508
2015-12-05,3097050,41596
2015-12-06,3633895,63273
2015-12-07,212766,8575
2015-12-09,146591,1394
2015-12-10,4453945,65009
2015-12-12,1987332,24108
2015-12-13,138795,2592
2015-12-14,4146463,57313
2015-12-15,364234,4215
2015-12-16,2401022,23939
2015-12-17,4730023,58321
2015-12-18,2522524,113348
2015-12-19,6067794,75558
2015-12-20,1260842,35493
2015-12-24,21324,310
2015-12-25,3464956,61805
2015-12-27,2649487,41177
2015-12-29,5770355,101569
2015-12-30,4772897,53133
2015-12-31,5329926,139090
2016-02-26,16960524,620161
2016-02-27,18523067,894018
2016-02-28,24877178,659150
2016-02-29,11807612,158782
2016-03-01,3076522,33937
2016-03-02,1534932,21677
2016-03-03,2249406,30755
2016-03-05,4442172,50896
2016-03-06,3141335,31270
2016-03-07,100687,125
2016-03-08,102067,851
2016-03-12,167810,2675
2016-03-13,308462,4038
2016-03-14,1188180,33589
2016-03-15,580038,10940
2016-03-18,918793,8490
2016-03-19,5417559,56271
2016-03-20,10194672,191263
2016-03-21,9612816,140443
2016-03-22,31811937,560685
2016-03-23,33940705,724889
2016-03-24,22220137,689219
2016-03-25,4539735,60310
2016-03-26,27534152,376417
2016-03-27,12749230,173230
2016-03-30,11974314,136048
2016-03-31,5577764,52296
2016-04-01,8976244,126364
2016-04-02,2611634,48754
2016-04-03,1525120,15888
2016-04-04,3333382,80552
2016-04-05,5276572,372390
2016-04-06,1247382,29722
2016-04-07,57603,884
2016-04-08,2524265,120456
2016-04-10,1489067,6773
2016-04-11,1211896,16814
2016-04-12,7209217,93341
2016-04-13,9510739,237382
2016-04-14,1858622,33288
2016-04-15,65421,1188
2016-04-16,577799,6109
2016-04-17,451890,3310
2016-04-18,54048594,1973847
2016-04-19,29486137,1109624
2016-04-20,49942491,1055017
2016-04-21,6801451,169264
2016-04-22,4494242,76832
2016-04-23,190797,4697
2016-04-24,4011306,40053
2016-04-25,5622183,58657
2016-04-26,7497377,97134
2016-04-27,2731622,24042
2016-04-28,1382203,18096
2016-05-03,9299663,90222
2016-05-04,5490953,58600
2016-05-05,34958,400
2016-05-06,12996944,348923
2016-05-11,56510,638
2016-05-12,460371,3311
2016-05-19,19386,78
2016-05-20,29199,965
2016-05-21,10266,203
2016-05-23,195309,3271
2016-05-24,272584,5868
2016-05-25,638297,8527
2016-05-27,66892,549
2016-05-29,203968,1607
2016-05-30,2670656,25207
2016-05-31,14460858,194557
2016-06-12,6712276,95697
2016-06-13,3045098,33764
2016-06-14,3035533,39145
2016-06-15,8368943,93130
2016-06-28,496659,3242
2016-06-29,567866,10516
2016-06-30,301741,2324
2016-07-03,139627,1048
2016-07-10,110981,1701
2016-07-12,25662,1828
2016-07-14,4587054,145957
2016-07-16,28338,183
