,mjd,ra_deg,dec_deg,ra_sigma_arcsec,dec_sigma_arcsec,mag,mag_sigma,filter,obscode,exposure_id,exposure_mjd_start,exposure_mjd_mid,exposure_duration,observation_id,healpix_id,pred_ra_deg,pred_dec_deg,pred_vra_degpday,pred_vdec_degpday,delta_ra_arcsec,delta_dec_arcsec,distance_arcsec,dataset_id,orbit_id
0,57450.63059027371,160.3277215,-35.7619447,0.036000000000000004,0.036000000000000004,20.120987,0.0234,g,Q55,20160303150711,57450.63001157,57450.63059027371,100.0,837271641920160303150711,10138679022,160.3277169224092,-35.76197810236038,-0.43970624084400317,0.3613607221699137,-0.01647932688229048,-0.12024849736747001,0.12098973669732337,SKYMAPPER_DR2,162081
1,57450.63199074371,160.3271245,-35.7614643,0.036000000000000004,0.036000000000000004,19.637762,0.0103,r,Q55,20160303150913,57450.63141204,57450.63199074371,100.0,837271631920160303150913,10138680388,160.3271012135021,-35.76147193376127,-0.4396281291232205,0.3615000659621466,-0.08383139246461724,-0.027481540575990948,0.07336697861300875,SKYMAPPER_DR2,162081
2,57474.58957176371,152.7856073,-22.9403785,0.036000000000000004,0.036000000000000004,19.268976,0.0185,i,Q55,20160327140807,57474.58899306,57474.58957176371,100.0,88647209220160327140807,10553357442,152.78558721020167,-22.940418089284098,-0.18446286940149145,0.6495313133029664,-0.07232327402562078,-0.14252142274671087,0.15731609425059223,SKYMAPPER_DR2,162081
