,mjd,ra_deg,dec_deg,ra_sigma_arcsec,dec_sigma_arcsec,mag,mag_sigma,filter,obscode,exposure_id,exposure_mjd_start,exposure_mjd_mid,exposure_duration,observation_id,healpix_id,pred_ra_deg,pred_dec_deg,pred_vra_degpday,pred_vdec_degpday,delta_ra_arcsec,delta_dec_arcsec,distance_arcsec,dataset_id,orbit_id
0,57186.43692129371,207.5027249,-8.7906299,0.17300000000000001,0.57699999999972,20.909477,0.0378,g,Q55,20150613102817,57186.43634259,57186.43692129371,100.0,1097758002120150613102817,6740778793,207.50264623394122,-8.790641624606023,0.06717538915564408,0.21123028262728377,-0.28319781162053914,-0.04220858167940378,0.2830361259701315,SKYMAPPER_DR2,310576
1,57186.438298613706,207.5028223,-8.7903096,0.17300000000000001,0.57699999999972,20.501307,0.0148,r,Q55,20150613103017,57186.43771991,57186.438298613706,100.0,1097758002120150613103017,6740778793,207.50273872047708,-8.790350693445015,0.06718703267357745,0.21123569465467332,-0.30088628246858207,-0.14793640205326142,0.33211965817242733,SKYMAPPER_DR2,310576
2,57186.44246527371,207.5031315,-8.7893875,0.036000000000000004,0.036000000000000004,20.411472,0.0221,i,Q55,20150613103618,57186.44188657,57186.44246527371,100.0,1097758022120150613103618,6740778798,207.50301861633957,-8.789470524926086,0.06722760412418356,0.21125203881188526,-0.4063811775154136,-0.29888973391010154,0.500624373134939,SKYMAPPER_DR2,310576
3,57720.626168983705,89.0447654,-0.4769973,0.036000000000000004,0.036000000000000004,19.858412,0.0231,g,Q55,20161128150049,57720.62559028,57720.626168983705,100.0,28181753620161128150049,5994828223,89.04478216999016,-0.47694274892383026,-0.2725476533318376,-0.4648755734836576,0.06037196455395133,0.19638387421110348,0.2054535168341726,SKYMAPPER_DR2,310576
4,57720.6317361137,89.0432935,-0.4794681,0.036000000000000004,0.036000000000000004,19.278751,0.0448,i,Q55,20161128150851,57720.63115741,57720.6317361137,100.0,28181749620161128150851,5994828217,89.04326462515253,-0.479530720865726,-0.2726553098845546,-0.46484976570308206,-0.1039494509029737,-0.22543511661361482,0.24824528872832735,SKYMAPPER_DR2,310576
