,mjd,ra_deg,dec_deg,ra_sigma_arcsec,dec_sigma_arcsec,mag,mag_sigma,filter,obscode,exposure_id,exposure_mjd_start,exposure_mjd_mid,exposure_duration,observation_id,healpix_id,pred_ra_deg,pred_dec_deg,pred_vra_degpday,pred_vdec_degpday,delta_ra_arcsec,delta_dec_arcsec,distance_arcsec,dataset_id,orbit_id
0,57278.56456018371,348.7098212,-1.010245,0.68199999999984,0.28700000000000003,20.215225,0.0186,g,Q55,20150913133205,57278.56398148,57278.56456018371,100.0,84588351320150913133205,4915475106,348.70980391144565,-1.0102646983944898,-0.24279283211877511,-0.12050479803518309,-0.06223879574918101,-0.07091422016323179,0.09434664872565891,SKYMAPPER_DR2,224832
1,57278.56594907371,348.7094425,-1.0104047,0.68199999999984,0.28700000000000003,19.823957,0.0341,r,Q55,20150913133406,57278.56537037,57278.56594907371,100.0,84588351320150913133406,4915472375,348.7094666848268,-1.0104320688613322,-0.24279989295352375,-0.12050330599937871,0.08706537637408474,-0.0985279007957196,0.13147535809462857,SKYMAPPER_DR2,224832
2,57278.57013889371,348.7084561,-1.010883,0.036000000000000004,0.036000000000000004,19.481356,0.0202,i,Q55,20150913134007,57278.56956019,57278.57013889371,100.0,84588341320150913134007,4915472375,348.70844933593594,-1.0109369572071814,-0.24281456258274328,-0.12049879114136412,-0.024350630542357976,-0.19424594585295551,0.19576581960402822,SKYMAPPER_DR2,224832
