,mjd,ra_deg,dec_deg,ra_sigma_arcsec,dec_sigma_arcsec,mag,mag_sigma,filter,obscode,exposure_id,exposure_mjd_start,exposure_mjd_mid,exposure_duration,observation_id,healpix_id,pred_ra_deg,pred_dec_deg,pred_vra_degpday,pred_vdec_degpday,delta_ra_arcsec,delta_dec_arcsec,distance_arcsec,dataset_id,orbit_id
0,56896.62790509371,346.1733217,0.3085775,0.036000000000000004,0.036000000000000004,19.806479,0.0433,r,Q55,20140827150319,56896.62732639,56896.62790509371,100.0,16403335420140827150319,4939864556,346.17329192581303,0.3085919091072695,-0.24054720206551095,-0.06692434726303154,-0.10718707299020025,0.05187278617027058,0.11907779500627129,SKYMAPPER_DR2,299379
1,56897.63024305371,345.9443232,0.2401504,0.67999999999968,0.31800000000000006,20.218807,0.0198,g,Q55,20140828150641,56897.62966435,56897.63024305371,100.0,163815031420140828150641,4939856993,345.9443341316392,0.240058262092387,-0.24377752007525882,-0.06981485837277768,0.039353901206595765,-0.3316964674068168,0.3340228268302984,SKYMAPPER_DR2,299379
2,56897.63162037371,345.9439456,0.2399735,0.67999999999968,0.31800000000000006,19.985834,0.0235,r,Q55,20140828150841,56897.63104167,56897.63162037371,100.0,163815031420140828150841,4939856993,345.9439983869045,0.23996210502227086,-0.24376741414382294,-0.0698194072120535,0.19003285626695288,-0.04102191982492398,0.194408464197079,SKYMAPPER_DR2,299379
