,mjd,ra_deg,dec_deg,ra_sigma_arcsec,dec_sigma_arcsec,mag,mag_sigma,filter,obscode,exposure_id,exposure_mjd_start,exposure_mjd_mid,exposure_duration,observation_id,healpix_id,pred_ra_deg,pred_dec_deg,pred_vra_degpday,pred_vdec_degpday,delta_ra_arcsec,delta_dec_arcsec,distance_arcsec,dataset_id,orbit_id
0,56830.53456018371,239.8892491,-16.8031738,0.50999999999976,0.044000000000000004,19.909409,0.015,g,Q55,20140622124854,56830.53398148,56830.53456018371,100.0,1682878732620140622124854,11642017368,239.88914863275133,-16.803173350448528,-0.18025706274845946,-0.0055907128444596214,-0.36168209521747485,0.0016183852977746938,0.34624331311279916,SKYMAPPER_DR2,280852
1,56830.53594907371,239.8889534,-16.8031984,0.50999999999976,0.044000000000000004,19.527914,0.0111,r,Q55,20140622125054,56830.53537037,56830.53594907371,100.0,1682878732620140622125054,11642017368,239.8888982907341,-16.803181086671408,-0.18021297489513635,-0.0055537621359635,-0.1983933572432761,0.0623279829284229,0.1998884320610487,SKYMAPPER_DR2,280852
2,56830.54013889371,239.888254,-16.8032152,0.5559999999998401,0.025000000000000005,19.390028,0.0267,i,Q55,20140622125656,56830.53956019,56830.54013889371,100.0,1682878722620140622125656,11642017368,239.8881434745194,-16.8032041140108,-0.18007229516411485,-0.005442793285936419,-0.39789173008557555,0.039909561121476145,0.3829881465545507,SKYMAPPER_DR2,280852
3,56830.541527773705,239.8879314,-16.8032282,0.5559999999998401,0.025000000000000005,19.09409,0.0831,z,Q55,20140622125856,56830.54094907,56830.541527773705,100.0,1682878722620140622125856,11642017357,239.88789339416158,-16.803211644922115,-0.1800231239608733,-0.0054061840897568535,-0.13682101836138827,0.05959828038442083,0.14390103338949722,SKYMAPPER_DR2,280852
4,56840.38420139371,238.7483173,-16.9858728,0.036000000000000004,0.036000000000000004,19.995066,0.0247,g,Q55,20140702091224,56840.38362269,56840.38420139371,100.0,1682521762820140702091224,11661568044,238.74833728629264,-16.985911353246273,-0.0792006055150571,-0.03314053317056699,0.07195065351197627,-0.13879168658519347,0.1549135693201434,SKYMAPPER_DR2,280852
