,mjd,ra_deg,dec_deg,ra_sigma_arcsec,dec_sigma_arcsec,mag,mag_sigma,filter,obscode,exposure_id,exposure_mjd_start,exposure_mjd_mid,exposure_duration,observation_id,healpix_id,pred_ra_deg,pred_dec_deg,pred_vra_degpday,pred_vdec_degpday,delta_ra_arcsec,delta_dec_arcsec,distance_arcsec,dataset_id,orbit_id
0,57977.57684027371,298.0555188,-29.4074671,0.92599999999992,0.25400000000000006,19.804527,0.0357,r,Q55,20170812134947,57977.57626157,57977.57684027371,100.0,2345876741520170812134947,12578781741,298.05539723654323,-29.40753753619334,-0.15812081624485924,-0.011529068107387108,-0.4376284444333578,-0.25357029602446346,0.4578664529776879,SKYMAPPER_DR2,301131
1,57977.58099537371,298.0549284,-29.4076082,0.92599999999992,0.25400000000000006,19.569551,0.0498,i,Q55,20170812135547,57977.58041667,57977.58099537371,100.0,2345876741520170812135547,12578781741,298.0547405183187,-29.40758504114557,-0.15792531655375705,-0.011331343946574295,-0.6763740527276241,0.08337187594378292,0.595091498914584,SKYMAPPER_DR2,301131
2,57979.45771990371,297.8062674,-29.4276097,0.036000000000000004,0.036000000000000004,20.11697,0.0333,g,Q55,20170814105816,57979.4571412,57979.45771990371,100.0,2345680591120170814105816,12578862211,297.8061114258671,-29.427650374369627,-0.14136870768669071,-0.010002659151461358,-0.5615068786255506,-0.1464277306510553,0.5105098805115686,SKYMAPPER_DR2,301131
3,57980.40380787371,297.6924892,-29.4327892,0.29100000000000004,0.09300000000000001,20.246065,0.0126,g,Q55,20170815094038,57980.40322917,57980.40380787371,100.0,2345676421120170815094038,12578860817,297.6923825767878,-29.432857728085803,-0.12994468707392953,-0.008704847294190639,-0.38384356398637465,-0.24670110889815078,0.41547459434077477,SKYMAPPER_DR2,301131
4,57980.405196763706,297.6923036,-29.4328411,0.29100000000000004,0.09300000000000001,19.997831,0.015,r,Q55,20170815094238,57980.40461806,57980.405196763706,100.0,2345676421120170815094238,12578860817,297.6922020011545,-29.432869784143453,-0.13002695634062117,-0.008650023756572213,-0.3657558438135311,-0.10326291642570595,0.3348677282598225,SKYMAPPER_DR2,301131
