,mjd,ra_deg,dec_deg,ra_sigma_arcsec,dec_sigma_arcsec,mag,mag_sigma,filter,obscode,exposure_id,exposure_mjd_start,exposure_mjd_mid,exposure_duration,observation_id,healpix_id,pred_ra_deg,pred_dec_deg,pred_vra_degpday,pred_vdec_degpday,delta_ra_arcsec,delta_dec_arcsec,distance_arcsec,dataset_id,orbit_id
0,57806.547511573706,158.0997941,-34.9631539,0.036000000000000004,0.036000000000000004,19.171267,0.0151,g,Q55,20170222130733,57806.54693287,57806.547511573706,100.0,83450988220170222130733,10146109725,158.0997477650949,-34.963152189953746,-0.5051986838783116,0.006713910413270012,-0.1668056583866928,0.006156166520554507,0.13683924488724286,SKYMAPPER_DR2,87023
1,57806.548900463706,158.0991049,-34.9631461,0.036000000000000004,0.036000000000000004,18.814297,0.0127,r,Q55,20170222130933,57806.54832176,57806.548900463706,100.0,83450987220170222130933,10146109724,158.09904608308818,-34.963142776344185,-0.5053027366588678,0.0068615892288537645,-0.2117408824915401,0.011965160945237585,0.17393809175840882,SKYMAPPER_DR2,87023
2,57806.55309027371,158.0969902,-34.9631271,0.9939999999999599,0.053000000000000005,18.547028,0.007,i,Q55,20170222131535,57806.55251157,57806.55309027371,100.0,83450986220170222131535,10146109726,158.09692849534233,-34.96311313266862,-0.5056026778749069,0.007309341110262548,-0.22213676760429735,0.05028239298212611,0.18886232664919803,SKYMAPPER_DR2,87023
3,57806.55447916371,158.0963161,-34.9630976,0.9939999999999599,0.053000000000000005,18.635931,0.0202,z,Q55,20170222131735,57806.55390046,57806.55447916371,100.0,83450986220170222131735,10146109723,158.09622625856878,-34.963102891029386,-0.5056974587709272,0.007458483029654098,-0.32342915238814385,-0.019047705799835057,0.2657405978497592,SKYMAPPER_DR2,87023
