,mjd,ra_deg,dec_deg,ra_sigma_arcsec,dec_sigma_arcsec,mag,mag_sigma,filter,obscode,exposure_id,exposure_mjd_start,exposure_mjd_mid,exposure_duration,observation_id,healpix_id,pred_ra_deg,pred_dec_deg,pred_vra_degpday,pred_vdec_degpday,delta_ra_arcsec,delta_dec_arcsec,distance_arcsec,dataset_id,orbit_id
0,57275.58518518371,351.1708082,-1.4508532,0.6409999999998001,0.23600000000000002,19.822685,0.0167,g,Q55,20150910140147,57275.58460648,57275.58518518371,100.0,85151362720150910140147,4924704773,351.17076885426786,-1.4508839729934118,-0.2319151367995091,-0.1119924600996347,-0.1416446357325185,-0.11078277628211453,0.17978644022109738,SKYMAPPER_DR2,274189
1,57275.586574073706,351.1704519,-1.4509842,0.6409999999998001,0.23600000000000002,19.49505,0.0125,r,Q55,20150910140348,57275.58599537,57275.586574073706,100.0,85151362720150910140348,4924704772,351.1704467388715,-1.4510395194121473,-0.23192059176131008,-0.11199024639773225,-0.01858006264683354,-0.19914988373033182,0.20001418339587868,SKYMAPPER_DR2,274189
2,57275.59075231371,351.1694737,-1.4514614,0.036000000000000004,0.036000000000000004,19.38332,0.0207,i,Q55,20150910140949,57275.59017361,57275.59075231371,100.0,85151352720150910140949,4924704772,351.1694776745057,-1.4515074362506954,-0.23192977150454475,-0.11198357460922247,0.014308220374914526,-0.16573050250396903,0.16634660583205138,SKYMAPPER_DR2,274189
