,mjd,ra_deg,dec_deg,ra_sigma_arcsec,dec_sigma_arcsec,mag,mag_sigma,filter,obscode,exposure_id,exposure_mjd_start,exposure_mjd_mid,exposure_duration,observation_id,healpix_id,pred_ra_deg,pred_dec_deg,pred_vra_degpday,pred_vdec_degpday,delta_ra_arcsec,delta_dec_arcsec,distance_arcsec,dataset_id,orbit_id
0,56900.42234953371,314.7447376,-14.4122171,0.28300000000000003,0.21200000000000002,19.972649,0.0057,g,Q55,20140831100719,56900.42177083,56900.42234953371,100.0,2987375491820140831100719,12827586516,314.74472179960503,-14.412259802954223,-0.13116908748080142,-0.08171928553044916,-0.056881421915022656,-0.1537306352041412,0.16330390893388,SKYMAPPER_DR2,302149
1,56900.423750003705,314.7445753,-14.4123349,0.28300000000000003,0.21200000000000002,19.820127,0.0143,r,Q55,20140831100920,56900.4231713,56900.423750003705,100.0,2987375491820140831100920,12827586516,314.74453802615807,-14.412374230611725,-0.13124416789009932,-0.0816855487378113,-0.13418583098427916,-0.14159020221242713,0.19219300327805905,SKYMAPPER_DR2,302149
2,56900.427928243706,314.7440456,-14.4127104,0.036000000000000004,0.036000000000000004,19.673254,0.0288,i,Q55,20140831101522,56900.42734954,56900.427928243706,100.0,2987375481820140831101522,12827586513,314.74398913176907,-14.412715338142629,-0.13146137503734895,-0.08158382338469625,-0.20328563132352429,-0.017777313464506506,0.19768875902843597,SKYMAPPER_DR2,302149
