,mjd,ra_deg,dec_deg,ra_sigma_arcsec,dec_sigma_arcsec,mag,mag_sigma,filter,obscode,exposure_id,exposure_mjd_start,exposure_mjd_mid,exposure_duration,observation_id,healpix_id,pred_ra_deg,pred_dec_deg,pred_vra_degpday,pred_vdec_degpday,delta_ra_arcsec,delta_dec_arcsec,distance_arcsec,dataset_id,orbit_id
0,57164.59192129371,232.0330863,-2.6317187,0.036000000000000004,0.036000000000000004,19.006079,0.0054,g,Q55,20150522141131,57164.59134259,57164.59192129371,100.0,1694262933220150522141131,8222131048,232.03306874611528,-2.631753483364479,-0.40280230929542876,0.3672911895956377,-0.06319398503364937,-0.12522011212414697,0.14023243826717707,SKYMAPPER_DR2,4946
1,57164.59332176371,232.032474,-2.6312047,0.036000000000000004,0.036000000000000004,18.553484,0.005,r,Q55,20150522141331,57164.59274306,57164.59332176371,100.0,1694262923220150522141331,8222131050,232.0325046462885,-2.6312391054328894,-0.40276192618967144,0.36728862455650296,0.11032663852574842,-0.12385955840166218,0.16579356181965316,SKYMAPPER_DR2,4946
2,57164.59748842371,232.0307887,-2.6297323,0.036000000000000004,0.036000000000000004,18.516993,0.0275,i,Q55,20150522141932,57164.59690972,57164.59748842371,100.0,1694262913220150522141932,8222131136,232.0308266935186,-2.6297087562499653,-0.4026318754449755,0.3672808589097546,0.13677666702278657,0.08475750012557626,0.1607865320023041,SKYMAPPER_DR2,4946
3,57168.55305555371,230.5662073,-1.244831,0.036000000000000004,0.036000000000000004,19.12311,0.0257,g,Q55,20150526131531,57168.55247685,57168.55305555371,100.0,1694073542520150526131531,8224242618,230.5661653676635,-1.2448882412478812,-0.3795412256423002,0.3323136299983511,-0.15095641140305815,-0.20606849237232439,0.25542377764038304,SKYMAPPER_DR2,4946
4,57168.55444444371,230.5656635,-1.2444739,0.036000000000000004,0.036000000000000004,18.696398,0.0402,r,Q55,20150526131732,57168.55386574,57168.55444444371,100.0,1694073532520150526131732,8224242618,230.56563821403668,-1.2444267011753727,-0.37952649347171086,0.3323048174669247,-0.09102946794428135,0.16991576865841296,0.1927532724161045,SKYMAPPER_DR2,4946
