,mjd,ra_deg,dec_deg,ra_sigma_arcsec,dec_sigma_arcsec,mag,mag_sigma,filter,obscode,exposure_id,exposure_mjd_start,exposure_mjd_mid,exposure_duration,observation_id,healpix_id,pred_ra_deg,pred_dec_deg,pred_vra_degpday,pred_vdec_degpday,delta_ra_arcsec,delta_dec_arcsec,distance_arcsec,dataset_id,orbit_id
0,57895.54569444371,216.7811037,-16.9271552,0.41599999999980003,0.43799999999976,19.92901,0.014,g,Q55,20170522130457,57895.54511574,57895.54569444371,100.0,1085481132320170522130457,11709094896,216.7811302292643,-16.927165762501666,-0.19597620703361598,0.14557819191851532,0.09550535154403406,-0.038025005991926264,0.09896437687706852,SKYMAPPER_DR2,284686
1,57895.54708333371,216.7808623,-16.9269118,0.41599999999980003,0.43799999999976,19.64589,0.0133,r,Q55,20170522130657,57895.54650463,57895.54708333371,100.0,1085481132320170522130657,11709094898,216.780858050877,-16.92696354286204,-0.19594472694770276,0.14561413028535888,-0.015296842832412949,-0.18627430334845485,0.18684826460289347,SKYMAPPER_DR2,284686
2,57898.53795139371,216.2732993,-16.5018075,0.43599999999996003,0.47099999999987996,20.198963,0.0159,g,Q55,20170525125347,57898.53737269,57898.53795139371,100.0,1088571133020170525125347,11731605796,216.2733268767823,-16.50175845940258,-0.17400274037302668,0.13988576023820573,0.09927641633566964,0.17654615071620583,0.20057209992511696,SKYMAPPER_DR2,284686
3,57898.53932870371,216.2730464,-16.5015459,0.43599999999996003,0.47099999999987996,19.822874,0.0094,r,Q55,20170525125547,57898.53875,57898.53932870371,100.0,1088571133020170525125547,11731605796,216.2730872300292,-16.501565766753576,-0.17396881827750485,0.13991937202449195,0.14698810514346405,-0.07152031287205318,0.15804283246862313,SKYMAPPER_DR2,284686
