,mjd,ra_deg,dec_deg,ra_sigma_arcsec,dec_sigma_arcsec,mag,mag_sigma,filter,obscode,exposure_id,exposure_mjd_start,exposure_mjd_mid,exposure_duration,observation_id,healpix_id,pred_ra_deg,pred_dec_deg,pred_vra_degpday,pred_vdec_degpday,delta_ra_arcsec,delta_dec_arcsec,distance_arcsec,dataset_id,orbit_id
0,57284.511388893705,339.9113415,-10.7259601,0.46899999999972003,0.133,20.092901,0.011,g,Q55,20150919121532,57284.51081019,57284.511388893705,100.0,70669941920150919121532,4857645856,339.91134549029164,-10.725959537626304,-0.2085156517261325,-0.06614388872499256,0.014365049923981132,0.0020245453058009844,0.014258534695002338,SKYMAPPER_DR2,273428
1,57284.51277777371,339.9110765,-10.7260339,0.46899999999972003,0.133,19.764898,0.0115,r,Q55,20150919121733,57284.51219907,57284.51277777371,100.0,70669941920150919121733,4857645685,339.9110558582431,-10.726051394614466,-0.2085252103941966,-0.06611850438978767,-0.07431032470321952,-0.0629806120791443,0.09642255575195112,SKYMAPPER_DR2,273428
2,57284.51697916371,339.9101832,-10.7262985,0.036000000000000004,0.036000000000000004,19.734077,0.018,i,Q55,20150919122335,57284.51640046,57284.51697916371,100.0,70669931920150919122335,4857645685,339.91017964482893,-10.726329048977357,-0.2085478450289622,-0.06604155651258245,-0.012798615875908581,-0.10997631848397305,0.11069291316613195,SKYMAPPER_DR2,273428
