,mjd,ra_deg,dec_deg,ra_sigma_arcsec,dec_sigma_arcsec,mag,mag_sigma,filter,obscode,exposure_id,exposure_mjd_start,exposure_mjd_mid,exposure_duration,observation_id,healpix_id,pred_ra_deg,pred_dec_deg,pred_vra_degpday,pred_vdec_degpday,delta_ra_arcsec,delta_dec_arcsec,distance_arcsec,dataset_id,orbit_id
0,57806.6720949037,181.6198546,-1.1152203,0.321,0.3500000000000001,19.732468,0.0102,g,Q55,20170222160657,57806.6715162,57806.6720949037,100.0,1067096982120170222160657,6887749215,181.61973437533743,-1.1151987934701564,-0.05513995934633279,0.06561879294204959,-0.4328087852400131,0.07742350743722426,0.4395985503804297,SKYMAPPER_DR2,175188
1,57806.673506943705,181.6197613,-1.1151666,0.321,0.3500000000000001,19.369215,0.0097,r,Q55,20170222160858,57806.67292824,57806.673506943705,100.0,1067096982120170222160858,6887749237,181.6196565914801,-1.1151061604825803,-0.05514734535543641,0.0656297473534993,-0.3769506716366777,0.21758226271106906,0.4351781614143856,SKYMAPPER_DR2,175188
2,57806.67771990371,181.6196028,-1.1148631,0.321,0.3500000000000001,19.338877,0.0119,i,Q55,20170222161503,57806.6771412,57806.67771990371,100.0,1067096982120170222161503,6887749237,181.61942446773207,-1.1148296889756208,-0.05516084599072461,0.0656624182328944,-0.6419961645178773,0.1202796877649348,0.6530468997257984,SKYMAPPER_DR2,175188
3,57806.67912037371,181.6194496,-1.114855,0.321,0.3500000000000001,19.168688,0.0126,z,Q55,20170222161703,57806.67854167,57806.67912037371,100.0,1067096982120170222161703,6887749237,181.61934729622442,-1.1147377540857573,-0.05516250407650941,0.06567327357913867,-0.36829359207786183,0.4220852912736106,0.5601292888789131,SKYMAPPER_DR2,175188
