,mjd,ra_deg,dec_deg,ra_sigma_arcsec,dec_sigma_arcsec,mag,mag_sigma,filter,obscode,exposure_id,exposure_mjd_start,exposure_mjd_mid,exposure_duration,observation_id,healpix_id,pred_ra_deg,pred_dec_deg,pred_vra_degpday,pred_vdec_degpday,delta_ra_arcsec,delta_dec_arcsec,distance_arcsec,dataset_id,orbit_id
0,56952.48976851371,340.8921766,-8.8895081,0.03300000000000001,0.76799999999988,20.835747,0.0281,g,Q55,20141022114425,56952.48918981,56952.48976851371,100.0,71593181020141022114425,4860245883,340.8922165991264,-8.889612083121632,0.019813968489154767,0.26741553560660003,0.14399685499029147,-0.3743392378730448,0.4004619991306365,SKYMAPPER_DR2,255758
1,56952.49116898371,340.8921953,-8.8890813,0.03300000000000001,0.76799999999988,20.38066,0.0438,r,Q55,20141022114626,56952.49059028,56952.49116898371,100.0,71593181020141022114626,4860245883,340.8922443395026,-8.889237594950261,0.019861000292602717,0.26743351015640426,0.17654220930580777,-0.5626618209369383,0.5890766357575835,SKYMAPPER_DR2,255758
2,56953.50642361371,340.9310339,-8.618284,0.036000000000000004,0.036000000000000004,20.71559,0.0213,r,Q55,20141023120823,56953.50584491,56953.50642361371,100.0,7161056920141023120823,4860452852,340.93094190417656,-8.618311857595737,0.030566178259821747,0.26763667713281364,-0.33118496432962274,-0.10028734465592493,0.34245883070631683,SKYMAPPER_DR2,255758
3,56959.43725694371,341.3584408,-7.0372613,0.036000000000000004,0.036000000000000004,20.302475,0.0247,i,Q55,20141029102848,56959.43667824,56959.43725694371,100.0,72085101820141029102848,4863944001,341.35848496706745,-7.037318963592585,0.08670225680161243,0.2662021478224723,0.1590014428984432,-0.20758893330707906,0.26075879535726704,SKYMAPPER_DR2,255758
