,mjd,ra_deg,dec_deg,ra_sigma_arcsec,dec_sigma_arcsec,mag,mag_sigma,filter,obscode,exposure_id,exposure_mjd_start,exposure_mjd_mid,exposure_duration,observation_id,healpix_id,pred_ra_deg,pred_dec_deg,pred_vra_degpday,pred_vdec_degpday,delta_ra_arcsec,delta_dec_arcsec,distance_arcsec,dataset_id,orbit_id
0,57284.511388893705,338.5360017,-10.0312897,0.41899999999968,0.15500000000000003,19.73644,0.0075,g,Q55,20150919121532,57284.51081019,57284.511388893705,100.0,6891655720150919121532,4859293864,338.535959340564,-10.031304499193016,-0.14048854135313013,-0.05622251381052381,-0.1524939696309957,-0.05327709485740684,0.1593339334139811,SKYMAPPER_DR2,200760
1,57284.51277777371,338.5357652,-10.0313757,0.41899999999968,0.15500000000000003,19.369978,0.0134,r,Q55,20150919121733,57284.51219907,57284.51277777371,100.0,6891655720150919121733,4859293864,338.5357641841816,-10.031382575994648,-0.14049773876945643,-0.05619353063192979,-0.00365694638730929,-0.024753580733971603,0.025014141080304347,SKYMAPPER_DR2,200760
2,57284.51836805371,338.5349504,-10.0317491,0.036000000000000004,0.036000000000000004,19.124266,0.01,z,Q55,20150919122536,57284.51778935,57284.51836805371,100.0,6891654720150919122536,4859291133,338.5349785719204,-10.031696429794867,-0.1405218112867461,-0.05607662602533072,0.10141891345938348,0.18961273848319138,0.21430511229687807,SKYMAPPER_DR2,200760
