,mjd,ra_deg,dec_deg,ra_sigma_arcsec,dec_sigma_arcsec,mag,mag_sigma,filter,obscode,exposure_id,exposure_mjd_start,exposure_mjd_mid,exposure_duration,observation_id,healpix_id,pred_ra_deg,pred_dec_deg,pred_vra_degpday,pred_vdec_degpday,delta_ra_arcsec,delta_dec_arcsec,distance_arcsec,dataset_id,orbit_id
0,57185.37128472371,198.6903329,-29.6342474,0.036000000000000004,0.036000000000000004,19.209475,0.0334,g,Q55,20150612085348,57185.37070602,57185.37128472371,100.0,98951358520150612085348,11515964251,198.69029601508342,-29.634238983917296,-0.8391890290905742,0.43335299578619674,-0.1327856996454102,0.030297897733078116,0.11932773957183387,SKYMAPPER_DR2,162881
1,57533.426273143705,185.9841207,-14.6681294,0.036000000000000004,0.036000000000000004,20.2523,0.0516,i,Q55,20160525101258,57533.42569444,57533.426273143705,100.0,1044573611320160525101258,6571036077,185.9840551806306,-14.668108348472556,-0.24408692739740298,0.1749975975194148,-0.2358697298404877,0.0757854987980977,0.2404385026118561,SKYMAPPER_DR2,162881
2,57857.51387731371,174.954012,-6.827651,0.036000000000000004,0.036000000000000004,19.236328,0.0203,i,Q55,20170414121907,57857.51329861,57857.51387731371,100.0,938164371220170414121907,6691730507,174.95391925671865,-6.827583650207497,-0.4878089291580387,0.21086273843962186,-0.3338758128847985,0.24245925301080717,0.41071168913773254,SKYMAPPER_DR2,162881
