,mjd,ra_deg,dec_deg,ra_sigma_arcsec,dec_sigma_arcsec,mag,mag_sigma,filter,obscode,exposure_id,exposure_mjd_start,exposure_mjd_mid,exposure_duration,observation_id,healpix_id,pred_ra_deg,pred_dec_deg,pred_vra_degpday,pred_vdec_degpday,delta_ra_arcsec,delta_dec_arcsec,distance_arcsec,dataset_id,orbit_id
0,57179.340057873706,199.3541626,-22.6629176,0.025000000000000005,0.09900000000000002,19.987368,0.0304,i,Q55,20150606080849,57179.33947917,57179.340057873706,100.0,1049090731120150606080849,11538426593,199.35411750656127,-22.66293512355471,-0.05664092481974553,0.01909252053495202,-0.16233637942377754,-0.06308479695746882,0.16254331781388612,SKYMAPPER_DR2,219318
1,57179.341435183705,199.3541488,-22.6628627,0.025000000000000005,0.09900000000000002,19.593163,0.0382,z,Q55,20150606081049,57179.34085648,57179.341435183705,100.0,1049090731120150606081049,11538426593,199.3540394278716,-22.6629087823265,-0.05669744698294389,0.01912913653228818,-0.39373966216089684,-0.16589637539539126,0.3994198846251023,SKYMAPPER_DR2,219318
2,57807.72049768371,197.3062795,-3.4990417,0.036000000000000004,0.036000000000000004,20.779392,0.0276,r,Q55,20170223171639,57807.71991898,57807.72049768371,100.0,1076443803120170223171639,6862327851,197.30627687622209,-3.499086618373862,-0.14582403909270145,-0.04191075690483977,-0.009445600448998448,-0.1617061459040059,0.16198075396225772,SKYMAPPER_DR2,219318
