objID,fieldID,ra,dec,raErr,decErr,i,err_i,TAI_i,mjd,velocity
1237646748751495408,1237646748751495168,88.345738413547,-0.980807324169104,0.0497010898672867,0.0587359475200593,16.92947,0.1488839,4418441468.75187,51139,19.1016082331739
1237648703520047195,1237648703520047104,221.577893506251,-0.829987047317542,0.0302728054761974,0.0240466585863801,16.52773,0.009507563,4428726894.9705,51258,7.38606657707103
1237649769186459756,1237649769186459648,353.122788582062,72.0009150676303,0.120522699336895,0.128499915374772,12.01601,0.002507617,4445994421.7183,51458,100.653548805271
1237651735230940130,1237651735230939136,204.824060797343,1.46306516917807,0.0630021170483199,0.0613298261341435,21.3632,0.09711132,4464144572.54736,51668,8.40694416951224
1237653618546114678,1237653618546114560,165.678647593826,61.738196952185,0.113551728565267,0.0947663899776004,14.74325,0.005019489,4482040058.38627,51875,7.10311060269797
1237654604781322255,1237654604781322240,142.801463354998,3.08178369472485,0.091239547140476,0.0947988552668907,24.35842,3.128352,4489374380.1056,51960,15.8048343825295
1237654605317341245,1237654605317341184,140.816032415559,3.49854658882255,1.5102062827987,0.637179134536999,12.2907,0.02172271,4489373906.3008,51960,7.57414054393612
1237661817634750754,1237661817634750464,194.338833022176,12.7763465623279,0.219017766801146,0.268351913625775,22.08806,0.2832897,4555115559.9919,52721,8.7763868991204
1237661970119458874,1237661970119458816,202.493785536639,6.03348345486354,0.062459198611558,0.0533358620546373,13.40409,0.005705156,4555899068.24403,52730,9.44147274660813
1237662979963945954,1237662979963944960,274.840435829865,1.29107077151636,0.139722021686635,0.140645317264632,20.63006,0.06579208,4568241726.52842,52873,9.49862864112917
1237663145319596610,1237663145319596032,308.03750810416,40.6621658735698,0.398806797204152,0.397956655579342,24.37782,0.6757497,4570743062.4361,52902,8.0402636935684
1237664130485060175,1237664130485059584,170.16833692359,13.5353457752748,0.133624138918052,0.0763645522320352,18.45238,0.1331419,4579068905.91405,52998,8.34865239053826
1237665567688819503,1237665567688818688,233.703673692779,18.2569184479141,5.80677587410507,2.42869904871362,18.4436,0.08259691,4593908422.32067,53170,7.32791816509395
1237666228577371112,1237666228577370112,284.098684711562,19.1238874571299,0.40114332439813,0.402519842595576,30.88688,0.2242229,4602025852.12704,53264,7.92048225908442
1237666408477098194,1237666408477097984,79.2360467976481,0.278921424906318,0.272039685299622,0.2578458295704,24.37257,0.7080923,4604123778.87664,53288,15.136747234147
1237666636592644259,1237666636592644096,324.885861752089,0.708114475474054,0.399413076359101,0.398972919912555,24.36239,1.686231,4606165797.43862,53312,14.7647272478861
1237671257985515979,1237671257985515520,76.9613453989033,26.3146616718512,0.0678782236795098,0.0660146520198448,16.77926,0.006259618,4645405030.91389,53766,13.0914441738183
1237671939285256986,1237671939285254144,327.069294595324,46.9247570693941,0.395866453647614,0.395866453647614,24.36267,0.7036042,4655180451.21434,53879,16.0864441306664
1237671940885184929,1237671940885184512,293.945177204539,63.0275769003482,0.130642565666027,0.0916733938097868,12.87408,0.008344119,4655174613.65453,53879,8.90416457360131
1237672026780467430,1237672026780467200,331.54184451493,44.6005251107287,0.0940783942099148,0.095196039495433,24.36101,0.877866,4655696823.36749,53885,7.73485320281549
1237672763368801328,1237672763368800256,347.703253953547,19.6910589478525,0.805575681896121,1.11750407967371,17.32891,0.1446657,4665102572.98806,53994,7.62938475069493
1237673740467634547,1237673740467634176,96.4704684773815,26.5612569669987,0.0675506140840684,0.0631650608588156,17.56554,0.009265688,4670736463.18419,54059,7.27317838650314
1237648704587825167,1237648704587825152,207.868293909309,0.0547940719381792,0.0518683860124147,0.0483553095592493,14.02278,0.004108205,4428723612.9225,51258,10.2364740885271
1237648721216471906,1237648721216471040,147.480075841746,-0.1502993506344,0.0992380119392124,0.179223358399993,21.96759,0.1706597,4428795326.40115,51259,7.67773521881601
1237649770792878259,1237649770792878080,353.631536760121,62.3299992493761,0.000379350800321048,0.000447631137911579,12.62663,0.002168529,4445992144.68995,51458,125.523402501214
1237652986646889011,1237652986646888448,312.692775851038,9.45542163539947,0.397526886892427,0.398719003699578,25.33822,3.000342,4477000594.1063,51817,19.1008431062963
1237655349955133497,1237655349955133440,203.491118961694,62.5058292230426,0.113228933219532,0.112678584393875,24.60884,2.704669,4496794615.64643,52046,9.22206147925543
1237655495979107078,1237655495979106304,202.402325518876,-1.39442747062806,0.517292293619766,0.501654624847301,21.03106,0.1696119,4497394235.98243,52053,7.45266748489213
1237659327102190837,1237659327102189568,246.188273147832,41.6644982859389,0.107985160998715,0.112188103003396,21.72001,0.1203905,4530320975.91526,52434,7.49563460442196
1237660558674362434,1237660558674362368,73.5941484234677,25.2815335223921,0.0821462178199722,0.0819328375510977,20.69566,0.05685639,4545878150.41891,52614,8.59793613434913
1237662535437123700,1237662535437123584,244.626730457309,8.62736243271381,0.400126076968102,0.399723706778089,24.36571,0.6167208,4561001544.94931,52789,8.19389690531572
1237664093969252517,1237664093969252352,121.954524637314,21.5509813418321,0.0542073604870483,0.0541216424074522,14.70762,0.02001237,4578706247.74106,52994,10.2448022005147
1237666275291431920,1237666275291430912,58.672778730748,15.5618423923942,0.326424591333655,0.275761750303467,20.63404,0.1895073,4602472238.03952,53269,8.73034204120397
1237667444580941864,1237667444580941824,183.007329076072,28.5429242904563,0.255617986384925,0.0397143201257533,12.00757,0.004293607,4612755534.19715,53388,9.54496859505828
1237668289615626346,1237668289615626240,143.720790820093,15.5821317744735,0.0592405159785159,0.0549702750827265,12.39557,0.0008481755,4622413512.2592,53500,8.44371645921945
